"SOURCE","CID","LAC","MCC","MNC","Operator","CGI","Technology","Lon","Lat","SessionId","TestId","NetworkId","SystemName","ADevice","Time","PosId","FileId","BTSLon","BTSLat","BTSLonDiff","BTSLatDiff","BTSDist","BTS2LonDiff","BTS2LatDiff","BTS2Dist","BTS3LonDiff","BTS3LatDiff","BTS3Dist","BTSTech","FloorPlanName","FloorPlanLevel","SessionIdLP","TestIdLP","PosIdLP","NetworkIdLP","RSRP","NumMeasuredCells","ChPSC"
"ZONA07_KOTA DUMAI_DT","121877261","5710","510","10","Telkomsel","121877261-10-510","LTE E-UTRA 1","101.423377","1.605236","511101108225","0","511101108225","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","15/3/2022 03:55:45.949","511101108225","119",,,"101.423377","1.605236",,"101.423377","1.605236",,"101.423377","1.605236",,,,,,,,,"    -107.0","1","250 375"
"ZONA07_KOTA DUMAI_DT","52510496","2001","510","9","Smartfren","52510496-9-510","LTE E-UTRA 5","101.438729","1.67789","1370094567425","0","1370094567425","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","14/3/2022 22:02:59.28","1370094567425","319",,,"101.438729","1.67789",,"101.438729","1.67789",,"101.438729","1.67789",,,,,,,,,"     -69.0","0","2450 36"
"ZONA07_KOTA DUMAI_DT","121883927","5710","510","10","Telkomsel","121883927-10-510","LTE E-UTRA 1","101.437371","1.658583","1700807049217","0","1700807049217","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","14/3/2022 21:22:11.385","1700807049217","396",,,"101.437371","1.658583",,"101.437371","1.658583",,"101.437371","1.658583",,,,,,,,,"     -78.5","0","250 154"
"ZONA07_KOTA DUMAI_DT","52507680","2001","510","9","Smartfren","52507680-9-510","LTE E-UTRA 5","101.504309","1.655472","2121713844225","0","2121713844225","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","15/3/2022 03:29:22.312","2121713844225","494",,,"101.504309","1.655472",,"101.504309","1.655472",,"101.504309","1.655472",,,,,,,,,"    -110.6","1","2450 92"
"ZONA07_KOTA DUMAI_DT","52511265","2001","510","9","Smartfren","52511265-9-510","LTE E-UTRA 5","101.38304","1.631406","2375116914689","0","2375116914689","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","14/3/2022 22:56:53.085","2375116914689","553",,,"101.38304","1.631406",,"101.38304","1.631406",,"101.38304","1.631406",,,,,,,,,"    -109.2","2","2450 23"
"ZONA07_KOTA DUMAI_DT","58932486","23007","510","11","XL","58932486-11-510","LTE E-UTRA 3","101.463795","1.676506","2521145802753","0","2521145802753","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","14/3/2022 21:38:04.044","2521145802753","587",,,"101.463795","1.676506",,"101.463795","1.676506",,"101.463795","1.676506",,,,,,,,,"     -95.0","1","1325 158"
"ZONA07_KOTA DUMAI_DT","11948329","5710","510","10","Telkomsel","11948329-10-510","LTE E-UTRA 3","101.356211","1.5203","2667174690817","0","2667174690817","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","14/3/2022 20:04:08.106","2667174690817","621",,,"101.356211","1.5203",,"101.356211","1.5203",,"101.356211","1.5203",,,,,,,,,"     -92.0","0","1850 237"
"ZONA07_KOTA DUMAI_DT","52502304","2001","510","9","Smartfren","52502304-9-510","LTE E-UTRA 5","101.443038","1.629095","566935683073","0","566935683073","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","15/3/2022 03:49:45.301","566935683073","132",,,"101.443038","1.629095",,"101.443038","1.629095",,"101.443038","1.629095",,,,,,,,,"    -111.0","4","2450 53"
"ZONA07_KOTA DUMAI_DT","122031373","5710","510","10","Telkomsel","122031373-10-510","LTE E-UTRA 1","101.436622","1.619687","1937030250497","0","1937030250497","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","14/3/2022 20:31:44.45","1937030250497","451",,,"101.436622","1.619687",,"101.436622","1.619687",,"101.436622","1.619687",,,,,,,,,"    -107.0","2","250 219"
"ZONA07_KOTA DUMAI_DT","52502560","2001","510","9","Smartfren","52502560-9-510","LTE E-UTRA 5","101.403495","1.676748","2211908157441","0","2211908157441","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","14/3/2022 23:39:26.906","2211908157441","515",,,"101.403495","1.676748",,"101.403495","1.676748",,"101.403495","1.676748",,,,,,,,,"     -96.0","1","2450 7"
"ZONA07_KOTA DUMAI_DT","58968325","23007","510","11","XL","58968325-11-510","LTE E-UTRA 3","101.38304","1.631406","2357937045505","0","2357937045505","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","14/3/2022 22:56:53.744","2357937045505","549",,,"101.38304","1.631406",,"101.38304","1.631406",,"101.38304","1.631406",,,,,,,,,"     -90.6","1","1325 37"
"ZONA07_KOTA DUMAI_DT","13600003","35011","510","1","Indosat Ooredoo","13600003-1-510","LTE E-UTRA 3","101.433222","1.670405","2576980377601","0","2576980377601","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","14/3/2022 21:16:39.928","2576980377601","600",,,"101.433222","1.670405",,"101.433222","1.670405",,"101.433222","1.670405",,,,,,,,,"    -102.0","5","1625 193"
"ZONA07_KOTA DUMAI_DT","59012356","23007","510","11","XL","59012356-11-510","LTE E-UTRA 3","101.399704","1.589241","416611827713","0","416611827713","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","15/3/2022 04:01:47.542","416611827713","97",,,"101.399704","1.589241",,"101.399704","1.589241",,"101.399704","1.589241",,,,,,,,,"     -76.0","2","1325 192"
"ZONA07_KOTA DUMAI_DT","52507681","2001","510","9","Smartfren","52507681-9-510","LTE E-UTRA 5","101.461662","1.652351","635655159809","0","635655159809","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","15/3/2022 03:38:20.611","635655159809","148",,,"101.461662","1.652351",,"101.461662","1.652351",,"101.461662","1.652351",,,,,,,,,"     -93.0","1","2450 91"
"ZONA07_KOTA DUMAI_DT","52490785","2001","510","9","Smartfren","52490785-9-510","LTE E-UTRA 5","101.37721","1.616102","1065151889409","0","1065151889409","NCM30100881","Samsung Galaxy S21+ 5G (SM-G996BDS)","14/3/2022 22:30:00.014","1065151889409","248",,,"101.37721","1.616102",,"101.37721","1.616102",,"101.37721","1.616102",,,,,,,,,"    -106.0","5","2450 252"
